ID,Supplier name,Document Date,Document Type,Total with Tax,Currency of Document,Paid,Entry Code
1059278,קוסט פורר גבאי את קסירר,03/07/2018,INVOICE,42318.9,ILS,,"חס - מע""מ מלא"
1059280,"אי.אר.בי. פיננשל גרופ בע""מ",24/07/2018,INVOICE,48087,ILS,Paid,"חס - מע""מ מלא"
1059282,Amazon.com,27/07/2018,OTHER,1323.94,USD,,"מע""מ 0%"
1059337,Google Inc.,06/07/2018,OTHER,8,ILS,Paid,"מע""מ 0%"
1059338,Google Inc.,20/07/2018,OTHER,7.6,ILS,Paid,"מע""מ 0%"
1059339,Google Inc.,14/07/2018,OTHER,7.6,ILS,Paid,"מע""מ 0%"
1059340,Google Inc.,07/07/2018,OTHER,8,ILS,Paid,"מע""מ 0%"
1059343,Google Inc.,06/07/2018,OTHER,8,ILS,Paid,"מע""מ 0%"
1059348,Google Inc.,28/07/2018,OTHER,7.6,ILS,Paid,"מע""מ 0%"
1059349,Google Inc.,27/07/2018,OTHER,8,ILS,Paid,"מע""מ 0%"
1059350,Google Inc.,06/07/2018,OTHER,8,ILS,Paid,"מע""מ 0%"
1059351,Google Inc.,04/07/2018,OTHER,8,ILS,Paid,"מע""מ 0%"
1059356,Google Inc.,26/07/2018,OTHER,39,ILS,Paid,"מע""מ 0%"
1059359,Google Inc.,13/07/2018,OTHER,8,ILS,Paid,"מע""מ 0%"
1059362,Google Inc.,21/07/2018,OTHER,7.6,ILS,Paid,"מע""מ 0%"
1059367,iBasis Netherlands B.V,09/07/2018,INVOICE,8265.86,USD,Unknown,"מע""מ 0%"
1059369,Google Inc.,24/07/2018,OTHER,8,ILS,Paid,"מע""מ 0%"
1059370,iBasis Netherlands B.V,16/07/2018,INVOICE,8716.06,USD,Unknown,"מע""מ 0%"
1059373,Google Inc.,10/07/2018,OTHER,8,ILS,Paid,"מע""מ 0%"
1059380,iBasis Netherlands B.V,30/07/2018,INVOICE,10136.05,USD,Unknown,"מע""מ 0%"
1059381,Kaktus telecom limited,02/07/2018,INVOICE,1978.83,USD,Unknown,"מע""מ 0%"
1059385,Kaktus telecom limited,23/07/2018,INVOICE,2644.31,USD,Unknown,"מע""מ 0%"
1059386,Kaktus telecom limited,16/07/2018,INVOICE,1971.81,USD,Unknown,"מע""מ 0%"
1059387,Mailchimp ,13/07/2018,RECEIPT,20,USD,Paid,"מע""מ 0%"
1059388,Kaktus telecom limited,09/07/2018,INVOICE,1888,USD,Paid,"מע""מ 0%"
1059389,Mailchimp ,09/07/2018,RECEIPT,95,USD,Paid,"מע""מ 0%"
1059395,Kaktus telecom limited,30/07/2018,INVOICE,2604.14,USD,Unknown,"מע""מ 0%"
1059396,iBasis Netherlands B.V,23/07/2018,INVOICE,9246.51,USD,Unknown,"מע""מ 0%"
1059398,"IDT Domestic Telecom, Inc.",10/07/2018,RECEIPT,10000,USD,Paid,פ
1059406,Mailchimp ,27/07/2018,RECEIPT,20,USD,Paid,"מע""מ 0%"
